CustomerID,LocationID,Gender,Age,Married,NumberOfDependents,NumberOfReferrals
0002-ORFBO,1,Female,37,Yes,0,2
0003-MKNFE,2,Male,46,No,0,0
0004-TLHLJ,3,Male,50,No,0,0
0011-IGKFF,4,Male,78,Yes,0,1
0013-EXCHZ,5,Female,75,Yes,0,3
0013-MHZWF,6,Female,23,No,3,0
0013-SMEOE,7,Female,67,Yes,0,1
0014-BMAQU,8,Male,52,Yes,0,8
0015-UOCOJ,9,Female,68,No,0,0
0016-QLJIS,10,Female,43,Yes,1,3
0017-DINOC,11,Male,47,No,0,0
0017-IUDMW,12,Female,25,Yes,2,2
0018-NYROU,13,Female,58,Yes,0,0
0019-EFAEP,14,Female,32,No,0,0
0019-GFNTW,15,Female,39,No,0,0
0020-INWCK,16,Female,58,Yes,2,9
0020-JDNXP,17,Female,52,Yes,1,0
0021-IKXGC,18,Female,72,No,0,0
0022-TCJCI,19,Male,79,No,0,0
0023-HGHWL,20,Male,67,No,0,0
0023-UYUPN,21,Female,79,Yes,0,0
0023-XUOPT,22,Female,26,Yes,0,1
0027-KWYKW,23,Female,30,Yes,2,1
0030-FNXPP,24,Female,22,No,0,0
0031-PVLZI,25,Female,34,Yes,0,0
0032-PGELS,26,Female,37,Yes,1,1
0036-IHMOT,27,Female,37,Yes,3,10
0040-HALCW,28,Male,42,Yes,3,3
0042-JVWOJ,29,Male,64,No,0,0
0042-RLHYP,30,Female,47,Yes,3,5
0048-LUMLS,31,Male,23,Yes,3,1
0048-PIHNL,32,Female,48,Yes,0,5
0052-DCKON,33,Male,28,Yes,0,9
0052-YNYOT,34,Female,28,No,0,0
0056-EPFBG,35,Male,33,Yes,1,4
0057-QBUQH,36,Female,31,No,3,0
0058-EVZWM,37,Female,37,Yes,0,2
0060-FUALY,38,Female,60,Yes,0,4
0064-SUDOG,39,Female,48,Yes,3,3
0064-YIJGF,40,Male,60,Yes,3,7
0067-DKWBL,41,Male,69,No,0,0
0068-FIGTF,42,Female,20,No,0,0
0071-NDAFP,43,Male,31,Yes,3,1
0074-HDKDG,44,Male,46,Yes,0,5
0076-LVEPS,45,Male,57,No,1,0
0078-XZMHT,46,Male,19,Yes,0,5
0080-EMYVY,47,Female,64,No,0,0
0080-OROZO,48,Female,38,No,0,0
0082-LDZUE,49,Male,54,No,0,0
0082-OQIQY,50,Male,50,No,0,0
0083-PIVIK,51,Male,25,No,0,0
0089-IIQKO,52,Female,35,Yes,3,1
0093-EXYQL,53,Female,72,No,0,0
0093-XWZFY,54,Male,51,No,0,0
0094-OIFMO,55,Female,78,No,1,0
0096-BXERS,56,Female,30,Yes,0,10
0096-FCPUF,57,Male,58,No,0,0
0098-BOWSO,58,Male,26,No,0,0
0100-DUVFC,59,Male,66,Yes,0,3
0103-CSITQ,60,Female,20,Yes,0,10
0104-PPXDV,61,Male,61,Yes,0,10
0106-GHRQR,62,Male,24,No,0,0
0106-UGRDO,63,Female,55,Yes,0,3
0107-WESLM,64,Male,32,No,0,0
0107-YHINA,65,Male,59,No,0,0
0111-KLBQG,66,Male,71,Yes,1,9
0112-QAWRZ,67,Male,49,Yes,2,8
0112-QWPNC,68,Male,61,Yes,0,1
0114-IGABW,69,Female,40,Yes,0,2
0114-PEGZZ,70,Female,39,No,0,0
0114-RSRRW,71,Female,21,Yes,0,9
0115-TFERT,72,Male,24,Yes,0,1
0117-LFRMW,73,Male,52,Yes,1,1
0118-JPNOY,74,Female,71,No,0,0
0121-SNYRK,75,Male,45,No,0,0
0122-OAHPZ,76,Female,29,No,0,0
0123-CRBRT,77,Female,62,Yes,0,1
0125-LZQXK,78,Male,42,No,0,0
0128-MKWSG,79,Female,51,No,2,0
0129-KPTWJ,80,Male,39,Yes,0,9
0129-QMPDR,81,Male,64,Yes,0,1
0130-SXOUN,82,Male,55,No,0,0
0133-BMFZO,83,Female,40,No,0,0
0134-XWXCE,84,Female,76,No,0,0
0135-NMXAP,47,Female,57,No,0,0
0136-IFMYD,85,Male,71,Yes,0,1
0137-OCGAB,86,Female,25,No,0,0
0137-UDEUO,87,Female,24,No,0,0
0139-IVFJG,88,Female,19,Yes,0,10
0141-YEAYS,89,Female,77,No,0,0
0142-GVYSN,90,Male,57,No,0,0
0147-ESWWR,91,Female,73,Yes,0,9
0148-DCDOS,92,Male,41,No,0,0
0151-ONTOV,93,Female,43,No,0,0
0156-FVPTA,94,Male,48,Yes,0,1
0164-APGRB,49,Female,56,No,0,0
0164-XAIRP,95,Female,51,No,0,0
0168-XZKBB,96,Female,34,Yes,0,8
0174-QRVVY,18,Male,21,Yes,2,2
0177-PXBAT,97,Male,78,Yes,0,7
0178-CIIKR,98,Female,60,No,0,0
0178-SZBHO,99,Male,54,Yes,1,7
0181-RITDD,100,Male,42,Yes,3,2
0186-CAERR,101,Male,22,No,0,0
0187-QSXOE,102,Male,71,Yes,0,8
0187-WZNAB,103,Female,56,Yes,2,6
0188-GWFLE,104,Male,33,No,0,0
0191-EQUUH,105,Female,32,No,3,0
0191-ZHSKZ,106,Male,80,No,0,0
0193-ESZXP,107,Female,73,Yes,0,1
0195-IESCP,108,Male,26,Yes,0,1
0196-JTUQI,109,Female,59,No,0,0
0196-VULGZ,110,Female,78,Yes,0,1
0197-PNKNK,111,Female,47,Yes,1,7
0201-MIBOL,112,Female,68,No,0,0
0201-OAMXR,113,Female,30,No,0,0
0203-HHYIJ,114,Male,62,No,0,0
0206-OYVOC,115,Female,52,Yes,2,1
0206-TBWLC,116,Female,63,Yes,0,7
0207-MDKNV,117,Female,54,No,0,0
0208-BPQEJ,118,Female,48,Yes,1,0
0212-ISBBF,119,Female,51,No,0,0
0214-JHPFW,120,Female,22,Yes,0,9
0215-BQKGS,121,Male,52,No,0,0
0218-QNVAS,122,Male,22,Yes,1,1
0219-QAERP,123,Male,33,Yes,0,2
0219-YTZUE,76,Male,26,Yes,0,5
0220-EBGCE,124,Male,58,No,0,0
0221-NAUXK,125,Male,22,No,1,0
0221-WMXNQ,126,Male,66,No,0,0
0222-CNVPT,127,Male,69,No,0,0
0224-HJAPT,128,Male,25,No,0,0
0224-NIJLP,129,Male,30,Yes,3,1
0224-RLWWD,34,Female,73,No,0,0
0225-ZORZP,130,Male,46,No,0,0
0228-MAUWC,131,Male,40,No,0,0
0229-LFJAF,132,Male,53,No,0,0
0230-UBYPQ,133,Male,76,Yes,0,2
0230-WEQUW,134,Male,38,Yes,0,1
0231-LXVAP,88,Male,23,No,0,0
0233-FTHAV,135,Female,24,No,0,0
0234-TEVTT,136,Female,43,Yes,3,3
0235-KGSLC,137,Female,45,No,0,0
0236-HFWSV,138,Male,49,No,0,0
0237-YFUTL,139,Female,62,Yes,0,4
0238-WHBIQ,140,Male,25,Yes,1,10
0239-OXEXL,141,Female,37,No,0,0
0244-LGNFY,142,Female,35,Yes,1,4
0247-SLUJI,143,Male,37,Yes,3,2
0248-IPDFW,144,Female,19,No,0,0
0248-PGHBZ,145,Female,69,No,0,0
0253-ZTEOB,146,Female,44,Yes,1,5
0254-FNMCI,147,Female,19,No,0,0
0254-KCJGT,148,Male,64,Yes,0,6
0254-WWRKD,149,Female,44,Yes,3,1
0256-LTHVJ,150,Female,58,Yes,0,1
0257-KXZGU,151,Female,29,Yes,1,9
0257-ZESQC,152,Female,80,Yes,0,2
0258-NOKBL,153,Male,22,No,0,0
0259-GBZSH,76,Male,22,No,0,0
0260-ZDLGK,154,Female,50,No,2,0
0263-FJTQO,155,Male,53,Yes,2,10
0264-CNITK,156,Female,45,Yes,2,1
0265-EDXBD,76,Male,76,Yes,0,2
0265-PSUAE,157,Female,57,Yes,3,10
0266-CLZKZ,18,Female,45,Yes,3,8
0266-GMEAO,158,Male,43,Yes,1,1
0268-QKIWO,159,Female,41,No,0,0
0269-XFESX,160,Male,22,Yes,3,1
0270-THENM,161,Male,62,Yes,2,1
0274-JKUJR,162,Male,21,Yes,2,9
0277-BKSQP,163,Male,49,Yes,3,10
0277-ORXQS,164,Male,33,Yes,4,9
0278-YXOOG,165,Male,30,No,0,0
0280-XJGEX,166,Male,38,No,1,0
0281-CNTZX,167,Male,56,Yes,0,2
0282-NVSJS,168,Female,70,Yes,1,1
0285-INHLN,169,Male,54,Yes,6,5
0289-IVARM,27,Female,57,No,0,0
0292-WEGCH,170,Female,40,Yes,2,7
0295-PPHDO,171,Male,56,No,0,0
0295-QVKPB,172,Male,38,No,0,0
0297-RBCSG,173,Male,61,No,0,0
0298-XACET,174,Male,35,Yes,2,1
