LocationID,City,ZipCode,Lattitude,Longitude
1,Frazier Park,93225,34.827663,-118.99907
2,Glendale,91206,34.162514,-118.20387
3,Costa Mesa,92627,33.64567,-117.922615
4,Martinez,94553,38.014458,-122.11543
5,Camarillo,93010,34.227844,-119.0799
6,Midpines,95345,37.581497,-119.97276
7,Lompoc,93437,34.757477,-120.55051
8,Napa,94558,38.489788,-122.27011
9,Simi Valley,93063,34.296814,-118.6857
10,Sheridan,95681,38.984756,-121.34508
11,Rancho Santa Fe,92091,32.99356,-117.20712
12,Sunnyvale,94086,37.37854,-122.020454
13,Antelope,95843,38.7155,-121.36341
14,La Mesa,91942,32.7825,-117.01611
15,Los Olivos,93441,34.70434,-120.02609
16,Woodlake,93286,36.464634,-119.094345
17,Point Reyes Station,94956,38.060265,-122.83064
18,San Marcos,92078,33.119026,-117.16604
19,Daly City,94015,37.680843,-122.48131
20,Morgan Hill,95037,37.161545,-121.64937
21,Ahwahnee,93601,37.375816,-119.73994
22,Carnelian Bay,96140,39.227432,-120.091805
23,Alpaugh,93201,35.869625,-119.49877
24,Keeler,93530,36.560497,-117.96246
25,Korbel,95550,40.7666,-123.80458
26,Palomar Mountain,92060,33.309853,-116.82309
27,Parlier,93648,36.62224,-119.521126
28,Modesto,95358,37.612614,-121.10857
29,Glen Ellen,95442,38.368744,-122.522644
30,Eureka,95503,40.73743,-124.108894
31,Moss Beach,94038,37.515556,-122.50231
32,Los Angeles,90058,34.001617,-118.222275
33,Los Angeles,90063,34.04427,-118.185234
34,Calexico,92231,32.690655,-115.43123
35,Redding,96003,40.67765,-122.29467
36,San Martin,95046,37.084698,-121.606415
37,Stockton,95209,38.04452,-121.348045
38,Los Angeles,90003,33.96413,-118.27278
39,Huntington Park,90255,33.97803,-118.21714
40,Yermo,92398,35.013298,-116.83409
41,San Diego,92129,32.961063,-117.13492
42,Fremont,94539,37.516792,-121.89912
43,Santa Rosa,95405,38.439697,-122.668816
44,San Jose,95126,37.32707,-121.91682
45,Tujunga,91042,34.296574,-118.24484
46,Visalia,93291,36.391777,-119.37284
47,Lodi,95240,38.123543,-121.15908
48,El Portal,95318,37.654552,-119.82298
49,Calistoga,94515,38.62962,-122.593216
50,Farmington,95230,37.956963,-120.86305
51,Tulelake,96134,41.813522,-121.49267
52,Coleville,96107,38.42528,-119.47574
53,Ojai,93023,34.581306,-118.931946
54,Desert Hot Springs,92241,33.832798,-116.25098
55,North Hollywood,91605,34.207294,-118.400024
56,Inverness,94937,38.099323,-122.945724
57,Santa Rosa,95404,38.52694,-122.7091
58,San Jose,95131,37.387028,-121.89777
59,Wilmington,90744,33.782066,-118.26226
60,Modesto,95357,37.670525,-120.87757
61,San Diego,92113,32.697098,-117.116585
62,Rancho Palos Verdes,90275,33.753147,-118.36746
63,Kenwood,95452,38.419525,-122.52158
64,West Point,95255,38.41935,-120.46954
65,Los Angeles,90062,34.00355,-118.30893
66,Morongo Valley,92256,34.097862,-116.59456
67,Palo Verde,92266,33.3249,-114.75833
68,Valyermo,93563,34.39583,-117.734566
69,Cambria,93428,35.59139,-121.03226
70,Round Mountain,96084,40.923557,-122.05994
71,Klamath,95548,41.57281,-124.03501
72,Fresno,93650,36.841656,-119.79711
73,Angwin,94508,38.542446,-122.41992
74,Le Grand,95333,37.24938,-120.24958
75,Redway,95560,40.142258,-123.85293
76,San Diego,92122,32.85723,-117.20977
77,Monterey Park,91755,34.04917,-118.11502
78,Big Oak Flat,95305,37.81859,-120.256996
79,Stevenson Ranch,91381,34.364155,-118.615585
80,North Highlands,95660,38.671295,-121.38825
81,La Puente,91746,34.038982,-117.99137
82,Glenhaven,95443,39.045246,-122.74318
83,Alhambra,91803,34.074738,-118.14596
84,Santa Monica,90403,34.03153,-118.49116
85,Los Angeles,90001,33.973618,-118.24902
86,Fairfield,94533,38.287136,-122.02711
87,Stockton,95204,37.9745,-121.319565
88,Temecula,92592,33.507256,-117.02947
89,Fallbrook,92028,33.362576,-117.299644
90,Randsburg,93554,35.405724,-117.77335
91,Atascadero,93422,35.45391,-120.69461
92,Planada,95365,37.329723,-120.3064
93,Moorpark,93021,34.312946,-118.85817
94,Solvang,93463,34.624397,-120.13788
95,La Mirada,90638,33.902046,-118.008965
96,Boron,93516,34.95703,-117.73045
97,Desert Center,92239,33.889606,-115.25701
98,Crows Landing,95313,37.435665,-121.04906
99,Tuolumne,95379,37.93977,-120.188
100,San Diego,92120,32.807865,-117.06099
101,Auburn,95603,38.91288,-121.08276
102,Fresno,93725,36.62363,-119.741325
103,Del Rey,93616,36.657463,-119.59529
104,Redwood City,94065,37.527496,-122.23094
105,Landers,92285,34.341736,-116.53941
106,Hawthorne,90250,33.914776,-118.34808
107,Oceano,93445,35.059696,-120.604744
108,Armona,93202,36.31598,-119.71085
109,Clarksburg,95612,38.384647,-121.5787
110,Irvine,92620,33.716137,-117.75257
111,Scotts Valley,95066,37.070175,-122.01008
112,Salida,95368,37.713154,-121.08739
113,Mckinleyville,95519,40.96501,-124.01526
114,Atherton,94027,37.454926,-122.20317
115,Huntington Beach,92649,33.721916,-118.043236
116,Calimesa,92320,33.982788,-117.057625
117,Daly City,94014,37.691563,-122.445206
118,Middletown,95461,38.787445,-122.58675
119,Berkeley,94705,37.8589,-122.24051
120,Lost Hills,93249,35.637714,-119.89307
121,Garden Grove,92844,33.766476,-117.969795
122,Indio,92203,33.752937,-116.23006
123,Oxnard,93033,34.156628,-119.11722
124,Escondido,92027,33.141266,-116.967224
125,Moreno Valley,92553,33.92315,-117.244934
126,Chino,91710,33.990646,-117.663025
127,Sacramento,95820,38.53508,-121.444145
128,San Diego,92117,32.825085,-117.199425
129,Turlock,95380,37.474396,-120.875916
130,Groveland,95321,37.90297,-119.66754
131,Los Gatos,95033,37.160194,-121.94561
132,Clovis,93611,36.917652,-119.59376
133,Hyampom,96046,40.648026,-123.46509
134,Woodland Hills,91364,34.153732,-118.59341
135,Livingston,95334,37.361988,-120.74839
136,Tulare,93274,36.18547,-119.375244
137,Buellton,93427,34.631363,-120.23822
138,Palmdale,93552,34.557713,-118.02944
139,Midway City,92655,33.74444,-117.98588
140,Folsom,95630,38.672638,-121.1474
141,Oakland,94619,37.787186,-122.14633
142,San Anselmo,94960,37.99272,-122.57503
143,Duarte,91010,34.145695,-117.95982
144,Lake Elsinore,92530,33.655422,-117.391754
145,San Clemente,92672,33.42949,-117.60943
146,Los Angeles,90004,34.07626,-118.310715
147,Downey,90241,33.940884,-118.12863
148,Bodega Bay,94923,38.377167,-123.03796
149,Challenge,95925,39.46177,-121.19582
150,Ludlow,92338,34.702766,-116.093376
151,Santa Clara,95051,37.34813,-121.98469
152,Perris,92571,33.82829,-117.20167
153,Fortuna,95540,40.58499,-124.121506
154,San Dimas,91773,34.10212,-117.81553
155,Rescue,95672,38.724323,-120.991234
156,Clio,96106,39.745804,-120.58088
157,Lotus,95651,38.815514,-120.917
158,Lompoc,93436,34.601055,-120.38292
159,Pilot Hill,95664,38.80373,-121.0438
160,San Francisco,94133,37.80207,-122.411
161,Mission Hills,91345,34.266388,-118.45975
162,Los Angeles,90040,33.994522,-118.149956
