CustomerID,OfferID,ContractID,PaymentModeID,ServiceID,ChurnID,AvgMonthlyLongDistanceCharges,AvgMonthlyGBDownload,MonthlyCharge,TotalCharges,TotalRefunds,TotalExtraDataCharges,TotalLongDistanceCharges,TotalRevenue,TenureInMonth
0002-ORFBO,1,1,1,1,1,42.39,16.0,65.6,593.3,0.0,0.0,381.51,974.81,9
0003-MKNFE,1,2,1,2,1,10.69,10.0,-4.0,542.4,38.33,10.0,96.21,610.28,9
0004-TLHLJ,2,3,2,3,2,33.65,30.0,73.9,280.85,0.0,0.0,134.6,415.45,4
0011-IGKFF,3,3,2,4,3,27.82,4.0,98.0,1237.85,0.0,0.0,361.66,1599.51,13
0013-EXCHZ,1,3,1,5,4,7.38,11.0,83.9,267.4,0.0,0.0,22.14,289.54,3
0013-MHZWF,2,3,1,6,1,16.77,73.0,69.4,571.45,0.0,0.0,150.93,722.38,9
0013-SMEOE,4,4,2,7,1,9.96,14.0,109.7,7904.25,0.0,0.0,707.16,8611.41,71
0014-BMAQU,5,4,1,8,1,12.96,7.0,84.65,5377.8,0.0,20.0,816.48,6214.28,63
0015-UOCOJ,2,4,2,9,1,10.53,21.0,48.2,340.35,0.0,0.0,73.71,414.06,7
0016-QLJIS,1,4,1,10,1,28.46,14.0,90.45,5957.9,0.0,0.0,1849.9,7807.8,65
0017-DINOC,1,5,1,11,1,,10.0,45.2,2460.55,0.0,0.0,0.0,2460.55,54
0017-IUDMW,1,4,1,12,1,16.01,59.0,116.8,8456.75,0.0,0.0,1152.72,9609.47,72
0018-NYROU,1,3,2,13,1,18.65,10.0,68.95,351.5,0.0,0.0,93.25,444.75,5
0019-EFAEP,4,4,2,14,1,2.25,16.0,101.3,7261.25,0.0,0.0,162.0,7423.25,72
0019-GFNTW,1,5,2,15,1,,19.0,45.05,2560.1,0.0,0.0,0.0,2560.1,56
0020-INWCK,4,4,1,16,1,27.26,12.0,95.75,6849.4,0.0,0.0,1935.46,8784.86,71
0020-JDNXP,1,6,1,17,1,,20.0,61.25,1993.2,0.0,0.0,0.0,1993.2,34
0021-IKXGC,2,1,2,18,5,7.77,22.0,72.1,72.1,0.0,0.0,7.77,79.87,1
0022-TCJCI,1,6,1,19,6,10.67,17.0,62.7,2791.5,0.0,0.0,480.15,3271.65,45
0023-HGHWL,1,3,2,20,7,,9.0,25.1,25.1,0.0,0.0,0.0,25.1,1
0023-UYUPN,1,6,2,21,1,31.43,,25.2,1306.3,0.0,0.0,1571.5,2877.8,50
0023-XUOPT,1,2,2,22,8,43.56,52.0,94.1,1215.6,0.0,0.0,566.28,1781.88,13
0027-KWYKW,3,3,2,23,1,34.91,30.0,83.75,1849.95,0.0,0.0,802.93,2652.88,23
0030-FNXPP,1,2,1,24,5,3.12,,19.85,57.2,0.0,0.0,9.36,66.56,3
0031-PVLZI,2,2,1,24,9,12.43,,20.35,76.35,0.0,0.0,49.72,126.07,4
0032-PGELS,1,2,2,25,10,,19.0,30.5,30.5,0.0,0.0,0.0,30.5,1
0036-IHMOT,1,1,2,26,1,35.04,57.0,103.7,5656.75,0.0,20.0,1927.2,7603.95,55
0040-HALCW,1,5,1,24,1,19.7,,20.4,1090.6,0.0,0.0,1063.8,2154.4,54
0042-JVWOJ,6,1,2,24,1,37.7,,19.6,471.85,21.25,0.0,980.2,1430.8,26
0042-RLHYP,1,5,2,24,1,38.39,,19.7,1396.9,0.0,0.0,2648.91,4045.81,69
0048-LUMLS,6,6,1,27,1,43.01,51.0,91.2,3247.55,0.0,0.0,1591.37,4838.92,37
0048-PIHNL,5,6,2,24,1,49.58,,20.45,900.9,0.0,0.0,2429.42,3330.32,49
0052-DCKON,1,6,2,12,1,43.77,41.0,-2.0,7942.15,0.0,0.0,2888.82,10830.97,66
0052-YNYOT,1,6,2,24,1,23.12,,20.55,1343.4,30.53,0.0,1549.04,2861.91,67
0056-EPFBG,1,4,1,28,1,,22.0,39.4,825.4,0.0,0.0,0.0,825.4,20
0057-QBUQH,1,4,2,21,1,30.64,,25.1,1070.15,0.0,0.0,1317.52,2387.67,43
0058-EVZWM,5,3,2,29,1,5.08,9.0,89.8,4959.6,0.0,0.0,279.4,5239.0,55
0060-FUALY,5,3,2,30,1,16.39,14.0,94.75,5597.65,0.0,0.0,967.01,6564.66,59
0064-SUDOG,1,5,2,24,1,19.28,,20.3,224.5,0.0,0.0,231.36,455.86,12
0064-YIJGF,6,3,2,18,1,25.26,23.0,75.75,1929.0,0.0,0.0,682.02,2611.02,27
0067-DKWBL,1,3,2,9,7,43.99,27.0,49.25,91.1,0.0,0.0,87.98,179.08,2
0068-FIGTF,6,6,1,31,1,48.91,59.0,78.2,2078.95,0.0,0.0,1320.57,3399.52,27
0071-NDAFP,1,5,1,21,1,23.69,,25.5,630.6,44.42,0.0,592.25,1178.43,25
0074-HDKDG,1,1,2,32,1,6.45,19.0,61.6,1611.0,44.9,0.0,161.25,1727.35,25
0076-LVEPS,1,3,1,15,1,,21.0,45.0,1242.45,12.26,0.0,0.0,1230.19,29
0078-XZMHT,1,4,2,33,1,32.36,52.0,85.15,6316.2,0.0,0.0,2329.92,8646.12,72
0080-EMYVY,1,6,1,34,1,24.04,12.0,51.45,727.85,0.0,0.0,336.56,1064.41,14
0080-OROZO,6,1,2,35,1,36.42,2.0,99.25,3532.0,0.0,0.0,1274.7,4806.7,35
0082-LDZUE,2,3,1,36,5,42.95,9.0,44.3,44.3,0.0,0.0,42.95,87.25,1
0082-OQIQY,1,3,2,37,1,2.05,17.0,94.2,2607.6,0.0,20.0,59.45,2687.05,29
0083-PIVIK,1,6,2,38,1,5.49,69.0,81.25,5567.55,0.0,40.0,351.36,5958.91,64
0089-IIQKO,1,3,1,39,1,24.38,53.0,99.95,3767.4,0.0,0.0,950.82,4718.22,39
0093-EXYQL,1,4,2,40,1,44.14,23.0,91.55,3673.6,0.0,0.0,1765.6,5439.2,40
0093-XWZFY,1,3,1,41,2,37.69,15.0,104.5,4036.85,0.0,0.0,1507.6,5544.45,40
0094-OIFMO,3,3,2,42,3,11.59,29.0,95.0,1120.3,0.0,120.0,127.49,1367.79,11
0096-BXERS,2,2,2,43,1,42.66,85.0,50.35,314.55,0.0,0.0,255.96,570.51,6
0096-FCPUF,1,3,3,44,1,2.64,15.0,64.5,1888.45,0.0,0.0,79.2,1967.65,30
0098-BOWSO,1,3,2,24,1,20.66,,19.4,529.8,0.0,0.0,557.82,1087.62,27
0100-DUVFC,1,1,2,45,1,39.49,28.0,104.8,7308.95,6.11,0.0,2764.3,10067.14,70
0103-CSITQ,5,1,2,46,1,8.01,73.0,109.4,6252.7,0.0,0.0,456.57,6709.27,57
0104-PPXDV,1,6,1,47,1,18.37,18.0,50.3,2878.55,10.23,0.0,1065.46,3933.78,58
0106-GHRQR,1,3,2,48,1,25.71,48.0,71.4,1212.1,0.0,0.0,411.36,1623.46,16
0106-UGRDO,4,4,2,12,1,38.52,27.0,116.0,8182.85,0.0,0.0,2657.88,10840.73,69
0107-WESLM,2,3,2,24,11,31.77,,19.85,19.85,0.0,0.0,31.77,51.62,1
0107-YHINA,1,3,2,49,2,40.71,25.0,99.75,99.75,0.0,0.0,40.71,140.46,1
0111-KLBQG,6,1,3,50,1,31.86,23.0,93.95,2861.45,0.0,0.0,1019.52,3880.97,32
0112-QAWRZ,3,3,2,51,1,48.71,12.0,90.8,1442.2,0.0,0.0,779.36,2221.56,16
0112-QWPNC,5,6,2,52,12,39.55,10.0,84.35,4059.35,0.0,0.0,1937.95,5997.3,49
0114-IGABW,4,5,2,53,1,,29.0,58.25,4145.9,0.0,0.0,0.0,4145.9,71
0114-PEGZZ,1,2,2,41,1,49.69,12.0,107.55,3645.5,0.0,0.0,1639.77,5285.27,33
0114-RSRRW,3,3,2,24,1,49.6,,19.95,187.75,0.0,0.0,496.0,683.75,10
0115-TFERT,1,3,2,54,10,36.26,59.0,111.2,2317.1,0.0,120.0,761.46,3198.56,21
0117-LFRMW,1,2,2,55,13,,23.0,40.2,1448.8,0.0,0.0,0.0,1448.8,37
0118-JPNOY,1,3,1,56,1,33.74,7.0,85.8,2193.65,0.0,0.0,877.24,3070.89,26
0121-SNYRK,5,1,1,57,1,,7.0,35.4,1748.9,0.0,0.0,0.0,1748.9,50
0122-OAHPZ,1,3,2,58,7,28.62,26.0,73.85,511.25,13.03,0.0,200.34,698.56,7
0123-CRBRT,5,5,3,59,1,47.19,28.0,88.1,5526.75,0.0,0.0,2878.59,8405.34,61
0125-LZQXK,3,3,2,35,10,45.92,12.0,101.35,1553.95,0.0,0.0,688.8,2242.75,15
0128-MKWSG,1,2,1,60,1,,19.0,45.8,1147.0,0.0,0.0,0.0,1147.0,26
0129-KPTWJ,1,3,2,61,1,33.22,23.0,94.65,6747.35,0.0,0.0,2391.84,9139.19,72
0129-QMPDR,1,1,2,24,1,27.4,,20.5,865.05,0.0,0.0,1205.6,2070.65,44
0130-SXOUN,4,2,1,62,1,48.78,8.0,89.4,5976.9,36.02,40.0,3219.48,9200.36,66
0133-BMFZO,1,3,2,63,12,36.81,16.0,86.25,181.65,0.0,0.0,73.62,255.27,2
0134-XWXCE,1,6,2,64,1,7.72,17.0,74.85,3268.05,17.91,0.0,339.68,3589.82,44
0135-NMXAP,3,3,2,65,11,14.38,6.0,89.75,1052.4,0.0,0.0,172.56,1224.96,12
0136-IFMYD,1,4,2,66,1,18.41,17.0,109.95,7634.25,0.0,0.0,1270.29,8904.54,69
0137-OCGAB,2,3,3,67,14,1.23,69.0,80.2,80.2,0.0,0.0,1.23,81.43,1
0137-UDEUO,2,2,1,24,9,25.75,,19.85,63.75,0.0,0.0,77.25,141.0,3
0139-IVFJG,1,2,2,68,5,4.65,53.0,90.35,190.5,0.0,0.0,9.3,199.8,2
0141-YEAYS,1,4,2,69,1,2.97,4.0,86.45,2401.05,0.0,0.0,80.19,2481.24,27
0142-GVYSN,6,3,2,24,1,13.34,,20.3,511.25,0.0,0.0,346.84,858.09,26
0147-ESWWR,1,3,2,39,1,20.15,21.0,101.25,3949.15,0.0,0.0,785.85,4735.0,39
0148-DCDOS,1,3,2,70,2,34.88,8.0,94.7,2362.1,0.0,0.0,872.0,3234.1,25
0151-ONTOV,2,2,3,13,2,39.81,23.0,70.9,70.9,0.0,0.0,39.81,110.71,1
0156-FVPTA,3,3,2,71,10,27.24,21.0,54.2,1152.7,0.0,0.0,599.28,1751.98,22
0164-APGRB,4,4,2,12,1,48.37,5.0,114.9,8496.7,0.0,0.0,3482.64,11979.34,72
0164-XAIRP,1,4,2,24,1,10.64,,19.55,470.2,0.0,0.0,255.36,725.56,24
0168-XZKBB,1,3,2,23,1,7.84,16.0,86.85,1564.4,0.0,0.0,148.96,1713.36,19
0174-QRVVY,1,5,1,21,1,9.2,,25.35,1847.55,0.0,0.0,653.2,2500.75,71
0177-PXBAT,1,1,2,72,1,25.15,20.0,109.9,3694.7,0.0,0.0,829.95,4524.65,33
0178-CIIKR,1,2,1,24,5,2.69,,19.95,58.0,0.0,0.0,8.07,66.07,3
0178-SZBHO,1,2,2,65,1,1.09,13.0,87.2,4017.45,0.0,0.0,51.23,4068.68,47
0181-RITDD,1,5,1,7,1,1.76,20.0,108.15,6825.65,0.0,0.0,109.12,6934.77,62
0186-CAERR,1,1,2,12,1,2.88,48.0,116.3,8309.55,0.0,0.0,204.48,8514.03,71
0187-QSXOE,1,4,2,27,1,41.97,11.0,89.0,605.45,0.0,0.0,293.79,899.24,7
0187-WZNAB,6,2,1,73,1,46.66,28.0,74.4,1972.35,0.0,0.0,1259.82,3232.17,27
0188-GWFLE,1,2,1,24,5,1.81,,20.05,33.7,0.0,0.0,3.62,37.32,2
0191-EQUUH,6,5,2,74,1,,75.0,35.05,844.45,0.0,0.0,0.0,844.45,25
0191-ZHSKZ,1,1,2,75,1,38.61,5.0,74.75,2111.3,0.0,0.0,1158.3,3269.6,30
0193-ESZXP,1,1,1,76,11,16.94,19.0,105.5,6205.5,0.0,0.0,982.52,7188.02,58
0195-IESCP,3,3,2,77,13,2.02,82.0,85.25,855.3,0.0,100.0,20.2,975.5,10
0196-JTUQI,1,3,1,18,1,9.27,28.0,75.2,633.85,0.0,0.0,83.43,717.28,9
0196-VULGZ,1,3,2,78,15,28.71,17.0,84.35,474.9,0.0,0.0,172.26,647.16,6
0197-PNKNK,1,6,2,79,1,38.92,16.0,84.45,5848.6,0.0,40.0,2685.48,8574.08,69
0201-MIBOL,1,4,2,80,1,10.45,20.0,102.4,6471.85,0.0,0.0,689.7,7161.55,66
0201-OAMXR,4,6,1,12,4,10.21,52.0,115.55,8127.6,0.0,0.0,714.7,8842.3,70
0203-HHYIJ,6,6,2,21,9,5.57,,25.3,676.35,0.0,0.0,139.25,815.6,25
0206-OYVOC,5,4,1,24,1,24.33,,19.25,864.2,0.0,0.0,1119.18,1983.38,46
0206-TBWLC,5,1,1,12,1,11.4,26.0,114.65,6049.5,0.0,0.0,615.6,6665.1,54
0207-MDKNV,1,2,2,81,7,22.39,7.0,105.1,1582.75,0.0,0.0,335.85,1918.6,15
0208-BPQEJ,3,2,2,24,1,8.25,,19.4,198.1,0.0,0.0,99.0,297.1,12
0212-ISBBF,1,3,2,82,1,,22.0,50.35,1098.85,0.0,0.0,0.0,1098.85,22
0214-JHPFW,1,5,2,53,1,,85.0,57.8,4039.3,1.01,0.0,0.0,4038.29,70
0215-BQKGS,6,3,1,83,1,24.73,20.0,84.3,2438.6,0.0,130.0,741.9,3310.5,30
0218-QNVAS,4,6,2,84,1,28.34,59.0,100.55,7113.75,16.99,0.0,2012.14,9108.9,71
0219-QAERP,1,6,1,24,1,9.81,,19.8,576.65,0.0,0.0,294.3,870.95,30
0219-YTZUE,2,3,2,85,7,28.77,19.0,84.8,371.9,0.0,0.0,115.08,486.98,4
0220-EBGCE,2,3,2,86,7,14.14,28.0,85.85,167.3,0.0,0.0,28.28,195.58,2
0221-NAUXK,1,1,2,24,1,7.86,,19.95,219.5,0.0,0.0,78.6,298.1,10
0221-WMXNQ,2,6,2,73,1,36.4,29.0,75.35,273.4,0.0,0.0,145.6,419.0,4
0222-CNVPT,5,4,1,87,1,,19.0,48.8,2555.05,0.0,0.0,0.0,2555.05,52
0224-HJAPT,1,2,2,88,7,22.01,85.0,47.15,223.15,0.0,0.0,110.05,333.2,5
0224-NIJLP,2,5,1,24,1,2.87,,20.15,165.5,0.0,0.0,22.96,188.46,8
0224-RLWWD,2,1,2,89,5,23.91,22.0,44.3,89.3,0.0,0.0,47.82,137.12,2
0225-ZORZP,2,2,2,90,5,13.72,26.0,84.3,235.05,0.0,0.0,41.16,276.21,3
0228-MAUWC,3,2,2,91,1,11.85,18.0,59.55,1144.6,0.0,0.0,225.15,1369.75,19
0229-LFJAF,4,5,2,92,1,3.66,13.0,69.65,4908.25,0.0,0.0,263.52,5171.77,72
0230-UBYPQ,5,6,2,57,1,,7.0,36.1,2298.9,0.0,0.0,0.0,2298.9,63
0230-WEQUW,1,4,2,93,1,,29.0,56.6,3789.2,0.0,0.0,0.0,3789.2,66
0231-LXVAP,1,3,2,94,7,44.56,27.0,75.9,75.9,0.0,0.0,44.56,120.46,1
0233-FTHAV,1,1,2,95,1,15.29,48.0,79.2,4765.0,0.0,0.0,917.4,5682.4,60
0234-TEVTT,1,6,1,96,1,,22.0,45.0,2196.3,0.0,0.0,0.0,2196.3,48
0235-KGSLC,2,3,1,97,16,33.34,4.0,85.55,85.55,0.0,0.0,33.34,118.89,1
0236-HFWSV,1,3,2,70,2,48.93,15.0,93.35,1444.65,0.0,0.0,733.95,2178.6,15
0237-YFUTL,5,3,2,98,1,34.57,13.0,109.65,5405.8,0.0,0.0,1728.5,7134.3,50
0238-WHBIQ,4,5,1,10,1,33.75,30.0,89.7,6339.3,0.0,0.0,2430.0,8769.3,72
0239-OXEXL,1,2,1,99,1,43.27,21.0,84.25,3847.6,0.0,100.0,1990.42,5938.02,46
0244-LGNFY,1,5,2,59,1,30.0,19.0,92.65,6733.0,0.0,0.0,2160.0,8893.0,72
0247-SLUJI,1,2,1,24,5,34.28,,19.7,19.7,0.0,0.0,34.28,53.98,1
0248-IPDFW,1,3,2,43,5,29.13,51.0,50.1,50.1,0.0,0.0,29.13,79.23,1
0248-PGHBZ,4,4,2,100,1,2.57,21.0,92.45,6140.85,0.0,0.0,172.19,6313.04,67
0253-ZTEOB,1,5,2,101,1,8.94,27.0,79.65,3870.3,0.0,0.0,429.12,4299.42,48
