ServiceID,ServiceHash,PhoneService,MultipleLines,InternetService,InternetType,OnlineSecurity,OnlineBackup,DeviceProtectionPlan,PremiumTechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData
1,3a9a8dcfd1fc8d26a86ff84bd251f7213cd0a52eb1a60b1d1982fe6e3d9ef405,Yes,No,Yes,Cable,No,Yes,No,Yes,Yes,No,No,Yes
2,cf30b40690768c5c8398523dda3920d678e96144c26496498a18aabc6beb88d6,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,Yes,No
3,cc3e295a39ba3c474062e684c69af4d5908e99f5803251ce57287eb1888fef15,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes
4,d431ae19e0310b2b56d95d7f666d3ccfabc8d0c0aa2925707d0ee7b7f7326c6d,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes
5,fb05d00f0f6005738dc186effc6b0e0637f38fa122b89085450953ee632a8004,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Yes
6,a8ddcb4d32a3680083d44eac905e5f8833af55c37f4b9838a6e173b1034ac6b5,Yes,No,Yes,Cable,No,No,No,Yes,Yes,Yes,Yes,Yes
7,e849428c7e1b45c4f0bf45ca522083d565689715f21a0469696cb856745388f9,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,45583830dd87ebc374979470e4762fcbf0c06c100d5cf9ca4dd73e5fa00322ea,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,No
9,60beda373d9fd9dad98c232c6cfd46c88beeb22448315eb5fb6fd0a2b1241f96,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes
10,29432009382af502f2fdb777a3271dfc54d76f21947f0bd3ebfd282e33d349b4,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,b88a08006315366eead5d98c14f92bd3fa487a6a2e9e3f33d4afd9b9a2b83e47,No,,Yes,Cable,Yes,No,No,Yes,Yes,No,No,Yes
12,b0cd19dc2dbb0ef6df182e3063ab5b3ea77dd70567f53d155bfe175b14e7f8dd,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,7e553a62df364082a95406ad9ddb443792b33ac66368c964b36d96b8dbd22520,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes
14,7b43fa52d8746a07789c48de7dde3133ea42a6e919eb7297a789d3b0a3b8b335,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Yes
15,72845b8007519779cdbce23b6286073a9de54ceea85b09dbba1add8f0f75bbc3,No,,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes
16,75d7d7a3c1cfbd6c4c23379afa4eaf8d92a3d1eac8401025ff701b2125ca313a,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes
17,8bf9fa6f65260ffdc692e9b5beaf51d7a9b9fd1dcea63c632341d916b8288acb,No,,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
18,d7f0aeee4ce09a291b82718cfdabee4b97ae17458bfbaad521e3d269f8a54f96,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes
19,7f7887c7a183c362260d843fd73afee773c900d6b639b3cd2994d051f32e55e1,Yes,No,Yes,DSL,Yes,No,Yes,No,No,Yes,No,Yes
20,1dc093a150d300754411ce81711732b377cba4fec0add6b0608ae8eace875d39,No,,Yes,Cable,No,No,No,No,No,No,No,Yes
21,9b629d8f5b35a927529463284ad95a75b0fea18ef4876c2041327700e4ebe566,Yes,Yes,No,,,,,,,,,
22,a426d797ee315720b666dea37f945488ec56d38652b177181e60b7cca9fc1435,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes
23,01d4fcfd508e919ced10faf6cd5dbd373ac370c946bb62c55dbcf2d85f9d9dcf,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes
24,f50a8793bb629837a4423322d2b6e421b48c47f3539c837db127d9c764d0afd5,Yes,No,No,,,,,,,,,
25,f425188e1a622133996c12f0ee736d18ebabb000f194d0f822725e631f94e0d9,No,,Yes,DSL,Yes,No,No,No,No,No,No,Yes
26,b3677a5530d5a0b69c5fcbad9775761656cb1843514efab167eab339cc05d53f,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No
27,1e28f9e73e4bba262defa4b5838672804145c8f6c0b6aa7e0be3c1e0f31d5517,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes
28,a6e8d4754a69ae433b994b58869534a44a74c0772a182f9260b3e291e2a585d6,No,,Yes,Cable,Yes,No,Yes,Yes,No,No,No,Yes
29,3df89fce3feb84d71ba3034ba1adeba44281546f8e5e29e18e6b8cc3ca0b3ce8,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes
30,2252123b93881f03e8cd646c1cd2cb8fc33a04d51648339e3faa787cf5660897,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes
31,913bffea2b5575f81a18dc5e8aa3947cc2e8b11a69ce43f4ae3a08e8e801b530,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
32,3d907cecfc5d976cfb8f8926a0ffa55bb37fe246b3e3d01fc9acfe576416c2f2,Yes,No,Yes,Cable,Yes,Yes,Yes,No,No,No,No,Yes
33,45709021f7852b201f432f12a5b4cb14dfece0e66b892e421471490b248e731b,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
34,0d28aa424323a672be038b9bd254518a93ffd5eda14a4578a3dd6683b6dde805,Yes,No,Yes,Cable,No,Yes,No,No,No,No,No,Yes
35,ebe4c105c87fb9a8bd1bc73ae7a4d654139f82e37319f415d24e7914b692eff5,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes
36,6c7196768657269f87cc7f9b9970f32791bf20d3ea5b90a35122fbd24e2495ef,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes
